Modelo,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std,Tempo (s)
Decision Tree,0.9857956071102518,0.98580913637219,0.9857956071102518,0.985800938131855,0.9850739398124172,0.0011220290918958573,5.287643194198608
Gradient Boosting,0.9843724826808442,0.984399110860872,0.9843724826808442,0.9843820043960625,0.9834282755049197,0.0007569173670478489,107.51493167877197
Random Forest,0.9783846195156006,0.9785293364590326,0.9783846195156006,0.9784232363940872,0.9783301685942805,0.00046944192541275356,19.046897411346436
Extra Trees,0.6577520004296225,0.6644403198491707,0.6577520004296225,0.6595375208191944,0.670475861672133,0.006681009200187816,6.3671581745147705
KNN,0.6323237205305837,0.6312972185025846,0.6323237205305837,0.6305443034675481,0.6208182288969446,0.0030217584828761204,12.981184482574463
Naive Bayes,0.6132323720530584,0.6470508872015582,0.6132323720530584,0.5948412785208695,0.6122101386731112,0.0037737933325270026,0.7536411285400391
Logistic Regression,0.5756941088018903,0.5769898401945446,0.5756941088018903,0.576219441197237,0.5785833477185108,0.0017777751555166485,13.732984781265259
